IRTT,"	ORTT","	T1","		G","		HNG","		phiL","	phiR","	UX1	","	UY1","		UX2	","	UY2","		UX3	","	UY3	","	UX4	","	UY4	","	UX5","		UY5","		UX6","		UY6	","	MaxVM", Error
0.006,0.016,0.07,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,59475080,0.551127
0.016,0.021,0.09,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,47566696,0.549594
0.016,0.029,0.23,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,26386560,0.501185
0.021,0.028,0.28,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,43820088,0.470847
0.02,0.028,0.14,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,24713992,0.539297
0.019,0.027,0.51,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,50885752,0.321975
0.013,0.018,0.3,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,27686304,0.36025
0.006,0.024,0.52,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,119673064,0.267365
0.006,0.017,0.21,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,91234408,0.443599
0.006,0.014,0.42,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,431733568,0.209519
