IRTT,"	ORTT","	T1","		T2","	G","		HNG	","	phiL","	phiR","	UX1","		UY1	","	UX2	","	UY2	","	UX3	","	UY3	","	UX4	","	UY4	","	UX5","		UY5","		UX6	","	UY6","		UX7","		UY7","		UX8","		UY8",MaxVM,Error
0.011,0.029,0.95,0.93,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,175646080,0.053413
0.017,0.026,0.11,0.1,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,24130022,0.390167
0.004,0.017,0.4,0.27,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,230625440,0.120086
0.005,0.013,0.85,0.76,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,1856697344,0.026114
0.008,0.019,0.79,0.73,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,335578880,0.026006
0.007,0.01,0.3,0.26,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,938412224,0.332928
0.002,0.011,0.42,0.28,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,1003555072,0.206573
0.004,0.016,0.05,0.04,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,43745608,0.411191
0.013,0.022,0.27,0.22,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,64811248,0.262045
0.003,0.016,0.01,0.01,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,9978179,0.440552
