IRTT,"	ORTT","	T1","		G","		HNG","		phiL","	phiR","	UX1	","	UY1","		UX2	","	UY2","		UX3	","	UY3	","	UX4	","	UY4	","	UX5","		UY5","		UX6","		UY6	","	MaxVM", Error
0.005,0.018,0.02,0.03,0.03,0.2,0.2,-0.479592,-0.026618,-0.177335,0.031651,-0.15276,0.034216,0.155015,0.039628,0.177955,0.037433,0.479118,-0.026248,14995367,0.572423
0.002,0.016,0.09,0.03,0.03,0.2,0.2,-0.480635,-0.027386,-0.176354,0.019168,-0.148891,0.02228,0.158093,0.044984,0.178705,0.043403,0.478635,-0.025856,61029132,0.538829
0.02,0.029,0.15,0.03,0.03,0.2,0.2,-0.480665,-0.027407,-0.176333,0.018819,-0.148798,0.021942,0.158156,0.045059,0.178717,0.043493,0.478628,-0.02585,22567460,0.537429
0.009,0.019,0.26,0.03,0.03,0.2,0.2,-0.483014,-0.028922,-0.17589,-0.008191,-0.143441,-0.004536,0.160601,0.043557,0.178642,0.042938,0.478672,-0.025887,18478870,0.408135
0.007,0.022,0.01,0.03,0.03,0.2,0.2,-0.479448,-0.026507,-0.177512,0.033404,-0.153403,0.035869,0.154411,0.038285,0.17779,0.035986,0.479236,-0.026341,4329212,0.57429
0.012,0.02,0.27,0.03,0.03,0.2,0.2,-0.482971,-0.028897,-0.175878,-0.007713,-0.143507,-0.004062,0.160591,0.043684,0.178657,0.04305,0.478663,-0.025879,21566914,0.410453
0.005,0.018,0.17,0.03,0.03,0.2,0.2,-0.481678,-0.028095,-0.175862,0.006992,-0.146017,0.010438,0.159749,0.045965,0.178904,0.044855,0.478518,-0.025759,65530280,0.485902
0.007,0.03,0.01,0.03,0.03,0.2,0.2,-0.479422,-0.026487,-0.177545,0.033722,-0.153523,0.036167,0.154295,0.038018,0.177758,0.035699,0.47926,-0.02636,1423094.875,0.574186
0.01,0.016,0.23,0.03,0.03,0.2,0.2,-0.48297,-0.028896,-0.175878,-0.007696,-0.143509,-0.004045,0.16059,0.043688,0.178658,0.043054,0.478663,-0.025879,106242080,0.410944
0.009,0.015,0.17,0.03,0.03,0.2,0.2,-0.482016,-0.028312,-0.175801,0.003109,-0.145257,0.006629,0.160078,0.045684,0.178884,0.044708,0.47853,-0.025769,145375264,0.466679
0.005,0.011,0.28,0.03,0.03,0.2,0.2,-0.483043,-0.028939,-0.175898,-0.00852,-0.143397,-0.004863,0.160608,0.043469,0.178632,0.042859,0.478679,-0.025892,902050496,0.406425
0.006,0.022,0.31,0.03,0.03,0.2,0.2,-0.483095,-0.028969,-0.175914,-0.009103,-0.14332,-0.005443,0.160618,0.043308,0.178613,0.042716,0.47869,-0.025901,20657366,0.403201
0.003,0.016,0.09,0.03,0.03,0.2,0.2,-0.480639,-0.027389,-0.176351,0.01913,-0.148881,0.022242,0.1581,0.044993,0.178706,0.043413,0.478634,-0.025855,62669228,0.538319
0.004,0.014,0.23,0.03,0.03,0.2,0.2,-0.483119,-0.028983,-0.175922,-0.009373,-0.143284,-0.005712,0.160622,0.043232,0.178604,0.042648,0.478696,-0.025906,215897152,0.401521
0.002,0.016,0.04,0.03,0.03,0.2,0.2,-0.47989,-0.026844,-0.177003,0.028056,-0.15153,0.030806,0.156096,0.041819,0.178241,0.03982,0.478924,-0.026092,35154144,0.566082
0.002,0.018,0.46,0.03,0.03,0.2,0.2,-0.48589,-0.030429,-0.178201,-0.039496,-0.141312,-0.036094,0.159531,0.029088,0.177118,0.029352,0.479782,-0.026763,182773440,0.24091
0.008,0.014,0.14,0.03,0.03,0.2,0.2,-0.481597,-0.028041,-0.175883,0.007932,-0.146212,0.011357,0.159656,0.045994,0.178904,0.04485,0.478518,-0.025759,155057760,0.490474
0.003,0.024,0.08,0.03,0.03,0.2,0.2,-0.480166,-0.027048,-0.176733,0.024751,-0.150487,0.027649,0.156936,0.043313,0.178451,0.04148,0.47879,-0.025983,16042742,0.557537
0.017,0.024,0.18,0.03,0.03,0.2,0.2,-0.481254,-0.027813,-0.176005,0.011914,-0.147086,0.015244,0.159203,0.045938,0.178875,0.044648,0.478535,-0.025773,44391436,0.508268
0.011,0.025,0.28,0.03,0.03,0.2,0.2,-0.482302,-0.028492,-0.175786,-0.000158,-0.144672,0.003413,0.160292,0.045261,0.17884,0.044392,0.478555,-0.02579,15953109,0.450227
0.007,0.016,0.51,0.03,0.03,0.2,0.2,-0.48764,-0.031181,-0.180962,-0.057698,-0.142009,-0.054909,0.157763,0.015028,0.176173,0.015835,0.480918,-0.027584,265947680,0.153077
0.011,0.028,0.06,0.03,0.03,0.2,0.2,-0.479878,-0.026835,-0.177015,0.028201,-0.151577,0.030944,0.156056,0.041743,0.178231,0.039737,0.478931,-0.026098,9433145,0.566063
0.006,0.014,0.21,0.03,0.03,0.2,0.2,-0.482735,-0.028756,-0.175826,-0.005062,-0.143887,-0.001433,0.160516,0.044328,0.178733,0.043614,0.478618,-0.025842,232561888,0.424578
0.008,0.029,0.23,0.03,0.03,0.2,0.2,-0.481385,-0.027901,-0.175953,0.010386,-0.146741,0.013755,0.159388,0.045995,0.178891,0.044762,0.478525,-0.025765,21222450,0.501976
0.015,0.024,0.45,0.03,0.03,0.2,0.2,-0.484407,-0.029696,-0.176645,-0.02358,-0.141872,-0.019934,0.160463,0.037934,0.177992,0.037756,0.479092,-0.026227,43518996,0.32502
0.009,0.019,0.04,0.03,0.03,0.2,0.2,-0.479837,-0.026804,-0.177059,0.028697,-0.151741,0.031416,0.155917,0.041476,0.178195,0.039444,0.478955,-0.026117,25680182,0.567474
0.008,0.015,0.46,0.03,0.03,0.2,0.2,-0.487018,-0.030927,-0.179869,-0.051292,-0.141597,-0.048243,0.158453,0.020495,0.176474,0.021103,0.480472,-0.02727,362599520,0.182616
0.009,0.024,0.11,0.03,0.03,0.2,0.2,-0.480493,-0.027285,-0.176458,0.020853,-0.149353,0.023905,0.157775,0.044578,0.17864,0.042923,0.478673,-0.025888,22844350,0.544952
0.015,0.028,0.1,0.03,0.03,0.2,0.2,-0.480246,-0.027107,-0.17666,0.023789,-0.150199,0.026727,0.157157,0.043671,0.178503,0.041883,0.478757,-0.025957,15606955,0.554677
0.01,0.028,0.39,0.03,0.03,0.2,0.2,-0.483037,-0.028935,-0.175897,-0.008451,-0.143406,-0.004795,0.160606,0.043487,0.178634,0.042876,0.478677,-0.025891,31602878,0.406676
0.019,0.029,0.57,0.03,0.03,0.2,0.2,-0.484645,-0.02982,-0.176844,-0.026167,-0.141707,-0.022543,0.16036,0.036703,0.177859,0.036597,0.479186,-0.026302,75453920,0.311061
0.018,0.03,0,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,0,0.574298
0.008,0.028,0.13,0.03,0.03,0.2,0.2,-0.480519,-0.027304,-0.176438,0.020546,-0.149267,0.023609,0.157835,0.044658,0.178653,0.043017,0.478666,-0.025882,14882897,0.543783
0.012,0.026,0.03,0.03,0.03,0.2,0.2,-0.479626,-0.026644,-0.177296,0.031247,-0.152616,0.033835,0.155147,0.039909,0.17799,0.037737,0.479093,-0.026228,7405492,0.57168
0.012,0.02,0.22,0.03,0.03,0.2,0.2,-0.482142,-0.028392,-0.175791,0.00167,-0.144993,0.005214,0.160179,0.045518,0.178867,0.044589,0.478539,-0.025777,72274520,0.459466
0.013,0.022,0.57,0.03,0.03,0.2,0.2,-0.4865,-0.030704,-0.179053,-0.045909,-0.141392,-0.04268,0.158979,0.024643,0.176759,0.02509,0.480137,-0.027027,65269364,0.208509
0.015,0.029,0,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.177652,0.034733,-0.153911,0.037115,0.153911,0.037115,0.177652,0.034733,0.479339,-0.026422,0,0.574298
0.013,0.027,0.27,0.03,0.03,0.2,0.2,-0.481943,-0.028266,-0.17581,0.003944,-0.145414,0.007449,0.160014,0.045766,0.178891,0.044761,0.478526,-0.025765,33297076,0.470847
