IRTT,"	ORTT","	T1","		T2","		T3","		G","		HNG","		phiL","	phiR","	UX1","		UY1","		UX2	","	UY2	","	UX3	","	UY3	","	UX4	","	UY4","		UX5","		UY5","		UX6","		UY6	","	UX7","		UY7","		UX8","		UY8","		UX9","		UY9","		UX10","		UY10","		MaxVM",Error
0.006,0.016,0.15,0.1,0.15,0.047,0.027,0.12,0.28,-0.473437,-0.023993,-0.319522,-0.005434,-0.274546,-0.001551,-0.119728,0.006544,-0.072792,0.008998,0.082026,0.017093,0.128962,0.019547,0.28378,0.027642,0.320962,0.023389,0.469954,-0.019454,44883504,0.241439
0.005,0.019,0.35,0.25,0.08,0.03,0.036,0.14,0.19,-0.480123,-0.033555,-0.310664,-0.009674,-0.285244,-0.007682,-0.114134,-0.004869,-0.084138,-0.004375,0.086973,-0.001562,0.116969,-0.001069,0.28808,0.001744,0.310417,-0.000199,0.478471,-0.032519,141268256,0.085615
0.011,0.016,0.28,0.24,0.1,0.027,0.046,0.16,0.24,-0.479344,-0.043262,-0.306862,-0.015427,-0.286166,-0.013495,-0.111513,-0.00893,-0.084522,-0.008225,0.090131,-0.00366,0.117122,-0.002954,0.291775,0.001611,0.306247,0.000057,0.475953,-0.041473,173397312,0.184275
0.012,0.016,0.72,0.36,0.18,0.034,0.029,0.25,0.23,-0.476354,-0.023893,-0.313261,0.017752,-0.287152,0.020947,-0.118829,0.019857,-0.08483,0.019637,0.083493,0.018547,0.117492,0.018326,0.285814,0.017236,0.312943,0.014014,0.476836,-0.024361,1219269632,0.038737
0.002,0.01,0.34,0.34,0.03,0.032,0.026,0.27,0.25,-0.477645,-0.02079,-0.313098,0.024749,-0.288781,0.027972,-0.118052,0.026873,-0.086053,0.026666,0.084676,0.025566,0.116675,0.02536,0.287403,0.02426,0.312641,0.021007,0.478065,-0.021233,498119264,0.339078
0.01,0.017,0.18,0.15,0.14,0.03,0.05,0.2,0.24,-0.475366,-0.046023,-0.30682,-0.011857,-0.286403,-0.009675,-0.114445,-0.007437,-0.084447,-0.007047,0.087511,-0.004809,0.117509,-0.004419,0.289468,-0.002181,0.306501,-0.004123,0.473545,-0.045001,89260296,0.292216
0.011,0.026,0.42,0.32,0.07,0.029,0.028,0.1,0.17,-0.482777,-0.026413,-0.311824,-0.00926,-0.285048,-0.00761,-0.113282,-0.003638,-0.08429,-0.002968,0.087476,0.001004,0.116468,0.001674,0.288234,0.005646,0.311637,0.003924,0.480972,-0.025143,57879184,0.062698
0.016,0.025,0.68,0.49,0.16,0.028,0.03,0.15,0.19,-0.481674,-0.027571,-0.310432,-0.00169,-0.28668,0.000251,-0.113508,0.002527,-0.085511,0.002895,0.087661,0.005171,0.115658,0.005539,0.28883,0.007814,0.310516,0.005892,0.480586,-0.026816,193209632,0.01944
0.004,0.01,0.66,0.52,0.09,0.033,0.023,0.19,0.18,-0.479453,-0.01947,-0.314107,0.012329,-0.285823,0.014978,-0.117448,0.014426,-0.084448,0.014318,0.083927,0.013766,0.116927,0.013658,0.285302,0.013106,0.313993,0.01047,0.479649,-0.019674,1664472960,0.042371
0.003,0.012,0.36,0.28,0.09,0.049,0.031,0.22,0.26,-0.469325,-0.024906,-0.319676,0.008558,-0.277632,0.013478,-0.124299,0.015464,-0.075303,0.016098,0.07803,0.018084,0.127026,0.018719,0.280359,0.020704,0.320162,0.015763,0.468354,-0.02366,451904832,0.201711
