IRTT,"	ORTT","	T1","		T2","		T3","		G","		HNG","		phiL","	phiR","	X1","		Y1","		X2","		Y2","		X3","		Y3","		X4","		Y4","		X5","		Y5","		X6","		Y6","		X7","		Y7","		X8","		Y8","		X9","		Y9","		X10","		Y10","		MaxVM", Error
0.002,0.014,0.84,0.76,0.16,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,1200459392,0.020255
0.005,0.011,0.28,0.26,0.09,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,361866016,0.229112
0.007,0.023,0.6,0.54,0.02,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,95403488,0.063245
0.008,0.014,0.52,0.43,0.06,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,707740992,0.10069
0.014,0.02,0.36,0.23,0.15,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,187163072,0.132021
0.008,0.022,0.91,0.49,0.15,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,842057600,0.013357
0.006,0.025,0.46,0.41,0.08,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,43169608,0.134446
0.004,0.014,0.19,0.14,0.14,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,115473656,0.23226
0.006,0.011,0.24,0.19,0.07,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,424669216,0.256164
0.012,0.022,0.01,0.01,0.01,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,2487607.75,0.356986
0.006,0.025,0.23,0.15,0.1,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,31483590,0.223332
0.003,0.018,0.07,0.05,0.04,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,33443928,0.316597
0.008,0.014,0.21,0.15,0.03,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,197484400,0.185647
0.005,0.021,0.5,0.3,0.17,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,142568480,0.052907
0.004,0.026,0.9,0.87,0.05,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,149210240,0.027202
0.012,0.027,0.06,0.05,0.09,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,4467237,0.346138
0.007,0.025,0.27,0.15,0.14,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,37288008,0.190129
