IRTT,	ORTT,	T1,		T2,	G,		HNG	,	phiL,	phiR,	UX1,		UY1	,	UX2	,	UY2	,	UX3	,	UY3	,	UX4	,	UY4	,	UX5,		UY5,		UX6	,	UY6,		UX7,		UY7,		UX8,		UY8,MaxVM,Error
  0.004000,  0.023000,  0.430000,  0.310000,  0.030000,  0.030000,  0.200000,  0.200000, -0.484331, -0.029656, -0.261871, -0.024670, -0.234026, -0.025036, -0.011773, -0.035873,  0.025576, -0.032868,  0.243237,  0.013365,  0.260983,  0.013603,  0.479805, -0.026780,42674492.000000,  0.149292
  0.008000,  0.020000,  0.010000,  0.010000,  0.030000,  0.030000,  0.200000,  0.200000, -0.479457, -0.026514, -0.261181,  0.016721, -0.237282,  0.019071, -0.014765,  0.019170,  0.015462,  0.019298,  0.237971,  0.021087,  0.261335,  0.018788,  0.479228, -0.026335,5894476.500000,  0.440745
  0.003000,  0.022000,  0.590000,  0.480000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486719, -0.030799, -0.264557, -0.043368, -0.234360, -0.044956, -0.012105, -0.055752,  0.026005, -0.052114,  0.242204,  0.000535,  0.260601,  0.001519,  0.481182, -0.027765,83758208.000000,  0.071466
  0.015000,  0.024000,  0.250000,  0.230000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482037, -0.028326, -0.260666, -0.005779, -0.233949, -0.004496, -0.011435, -0.005725,  0.022533, -0.003584,  0.243130,  0.025583,  0.261871,  0.024670,  0.478585, -0.025814,49081996.000000,  0.300521
  0.013000,  0.029000,  0.170000,  0.090000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480842, -0.027532, -0.260638,  0.004462, -0.235878,  0.005933, -0.013434,  0.000248,  0.020255,  0.001508,  0.241654,  0.023783,  0.261664,  0.022583,  0.478812, -0.026001,21065022.000000,  0.339845
  0.003000,  0.021000,  0.440000,  0.250000,  0.030000,  0.030000,  0.200000,  0.200000, -0.484878, -0.029939, -0.262363, -0.029031, -0.234934, -0.030075, -0.013131, -0.047882,  0.025576, -0.045044,  0.242408,  0.004929,  0.260662,  0.005635,  0.480708, -0.027437,69973976.000000,  0.102426
  0.005000,  0.015000,  0.520000,  0.500000,  0.030000,  0.030000,  0.200000,  0.200000, -0.487687, -0.031199, -0.266027, -0.050703, -0.232106, -0.051420, -0.009820, -0.041297,  0.024660, -0.036911,  0.242402,  0.008940,  0.260778,  0.009334,  0.480286, -0.027136,506233664.000000,  0.106232
  0.013000,  0.023000,  0.080000,  0.080000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480207, -0.027078, -0.260806,  0.010032, -0.235977,  0.012135, -0.013460,  0.012454,  0.018032,  0.013293,  0.240250,  0.024833,  0.261704,  0.023005,  0.478766, -0.025964,24484708.000000,  0.405613
  0.010000,  0.030000,  0.530000,  0.330000,  0.030000,  0.030000,  0.200000,  0.200000, -0.484071, -0.029517, -0.261663, -0.022572, -0.234519, -0.023001, -0.012441, -0.036967,  0.025314, -0.034200,  0.242983,  0.011996,  0.260912,  0.012285,  0.479953, -0.026891,57680084.000000,  0.146409
  0.011000,  0.024000,  0.090000,  0.060000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480277, -0.027130, -0.260781,  0.009411, -0.236230,  0.011309, -0.013725,  0.008953,  0.018503,  0.009827,  0.240552,  0.024237,  0.261665,  0.022594,  0.478811, -0.026000,23594428.000000,  0.387771
  0.020000,  0.027000,  0.030000,  0.020000,  0.030000,  0.030000,  0.200000,  0.200000, -0.479614, -0.026635, -0.261086,  0.015310, -0.237103,  0.017553, -0.014587,  0.016866,  0.016155,  0.017153,  0.238619,  0.021998,  0.261421,  0.019861,  0.479110, -0.026241,10217306.000000,  0.429966
  0.009000,  0.020000,  0.490000,  0.310000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485831, -0.030401, -0.263398, -0.036520, -0.234842, -0.037973, -0.012937, -0.054456,  0.025860, -0.051297,  0.242174,  0.000874,  0.260603,  0.001827,  0.481147, -0.027741,147802496.000000,  0.078081
  0.010000,  0.020000,  0.450000,  0.360000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485341, -0.030168, -0.262838, -0.032689, -0.233591, -0.033383, -0.011219, -0.041407,  0.026062, -0.037952,  0.243172,  0.010803,  0.260860,  0.011231,  0.480071, -0.026979,102429616.000000,  0.122798
  0.013000,  0.025000,  0.660000,  0.380000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486491, -0.030700, -0.264242, -0.041624, -0.235859, -0.043744, -0.014454, -0.065965,  0.025250, -0.063118,  0.241218, -0.009529,  0.260732, -0.008051,  0.482307, -0.028495,140225024.000000,  0.045611
  0.002000,  0.015000,  0.710000,  0.440000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489972, -0.032007, -0.270299, -0.067465, -0.236925, -0.070816, -0.014587, -0.079739,  0.023002, -0.076193,  0.239750, -0.025853,  0.261765, -0.023629,  0.484202, -0.029588,938815616.000000,  0.022265
  0.005000,  0.013000,  0.700000,  0.520000,  0.030000,  0.030000,  0.200000,  0.200000, -0.490594, -0.032195, -0.271649, -0.071901, -0.234895, -0.074181, -0.012721, -0.061840,  0.021202, -0.057516,  0.239368, -0.013730,  0.260917, -0.012390,  0.482827, -0.028811,1332800256.000000,  0.042694
  0.010000,  0.018000,  0.460000,  0.390000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485963, -0.030462, -0.263559, -0.037546, -0.233137, -0.038296, -0.010654, -0.042176,  0.026101, -0.038406,  0.243163,  0.010563,  0.260849,  0.011007,  0.480097, -0.026997,230889712.000000,  0.116562
