IRTT,	ORTT,	T1,		T2,		T3,		G,		HNG,		phiL,	phiR,	X1,		Y1,		X2,		Y2,		X3,		Y3,		X4,		Y4,		X5,		Y5,		X6,		Y6,		X7,		Y7,		X8,		Y8,		X9,		Y9,		X10,		Y10,		MaxVM, Error
  0.004000,  0.013000,  0.350000,  0.340000,  0.080000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485695, -0.030337, -0.314133, -0.034288, -0.282023, -0.033886, -0.110614, -0.025650, -0.078671, -0.023008,  0.091763, -0.002972,  0.120826,  0.000064,  0.291721,  0.015681,  0.311535,  0.014254,  0.478430, -0.025685,330246400.000000,  0.195904
  0.013000,  0.025000,  0.950000,  0.670000,  0.160000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489713, -0.031925, -0.320082, -0.057895, -0.288328, -0.061681, -0.117345, -0.076315, -0.085451, -0.078000,  0.086121, -0.081471,  0.122860, -0.077825,  0.290403, -0.040699,  0.314761, -0.037533,  0.486227, -0.030583,340086208.000000,  0.009201
  0.003000,  0.020000,  0.350000,  0.300000,  0.060000,  0.030000,  0.030000,  0.200000,  0.200000, -0.483878, -0.029412, -0.312393, -0.022933, -0.284066, -0.022647, -0.112485, -0.025663, -0.081601, -0.025749,  0.089994, -0.023692,  0.124776, -0.020333,  0.293594,  0.010482,  0.311271,  0.010192,  0.478988, -0.026144,70144352.000000,  0.149117
  0.003000,  0.011000,  0.530000,  0.450000,  0.030000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489415, -0.031827, -0.319549, -0.056211, -0.282969, -0.057279, -0.111969, -0.042849, -0.080874, -0.039558,  0.089358, -0.017874,  0.118252, -0.014644,  0.289070,  0.001795,  0.310999,  0.001039,  0.480279, -0.027131,890747008.000000,  0.106645
  0.013000,  0.020000,  0.080000,  0.060000,  0.130000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480352, -0.027184, -0.310997,  0.000529, -0.286307,  0.002424, -0.114707,  0.000891, -0.082859,  0.001600,  0.088504,  0.010763,  0.117384,  0.011778,  0.288967,  0.014667,  0.311399,  0.012328,  0.478693, -0.025904,15521589.000000,  0.332788
  0.014000,  0.021000,  0.420000,  0.220000,  0.040000,  0.030000,  0.030000,  0.200000,  0.200000, -0.484456, -0.029722, -0.312877, -0.026594, -0.285609, -0.027321, -0.114441, -0.039591, -0.083820, -0.041439,  0.087582, -0.049835,  0.125597, -0.046294,  0.292500, -0.006388,  0.311074, -0.005422,  0.481218, -0.027789,224073312.000000,  0.062778
  0.008000,  0.015000,  0.740000,  0.590000,  0.100000,  0.030000,  0.030000,  0.200000,  0.200000, -0.491304, -0.032394, -0.323166, -0.066723, -0.287147, -0.070168, -0.115550, -0.068330, -0.083278, -0.066728,  0.087658, -0.051554,  0.119681, -0.047466,  0.288946, -0.019212,  0.311860, -0.018046,  0.483119, -0.028983,907613312.000000,  0.027743
  0.015000,  0.029000,  0.120000,  0.100000,  0.070000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480397, -0.027216, -0.310997,  0.000218, -0.286165,  0.002141, -0.114561,  0.001115, -0.083862,  0.001290,  0.087719,  0.004274,  0.118760,  0.005365,  0.290128,  0.014434,  0.311416,  0.012586,  0.478658, -0.025875,13766180.000000,  0.313247
  0.019000,  0.026000,  0.600000,  0.400000,  0.030000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485547, -0.030267, -0.313968, -0.033381, -0.285464, -0.034593, -0.114241, -0.046064, -0.083923, -0.047905,  0.087430, -0.057240,  0.125927, -0.053516,  0.292314, -0.011513,  0.311270, -0.010168,  0.481922, -0.028252,136497360.000000,  0.040023
  0.009000,  0.029000,  0.620000,  0.420000,  0.060000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485259, -0.030128, -0.313658, -0.031605, -0.285543, -0.032714, -0.114360, -0.044764, -0.083823, -0.046610,  0.087566, -0.055270,  0.125874, -0.051545,  0.292382, -0.010020,  0.311200, -0.008781,  0.481715, -0.028119,99122368.000000,  0.045286
